date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-04-27 16:18:00,4000.0,포토이즘박스 인사동점,기타,일시불,신한,6.0,16.0,afternoon,2025-W17,2025-04-21/2025-04-27
2025-04-27 14:39:00,28000.0,랑솜,카페/음료,일시불,신한,6.0,14.0,afternoon,2025-W17,2025-04-21/2025-04-27
2025-04-25 09:47:00,3900.0,(주)카카오,금융/이체,일시불,신한,4.0,9.0,morning,2025-W16,2025-04-21/2025-04-27
2025-04-24 12:54:00,3600.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,3.0,12.0,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-24 07:48:00,10890.0,(주)아이패밀리에스씨,기타,일시불,신한,3.0,7.0,morning,2025-W16,2025-04-21/2025-04-27
2025-04-23 01:49:00,6000.0,씨유 성북명랑점,쇼핑/의류,일시불,신한,2.0,1.0,night,2025-W16,2025-04-21/2025-04-27
2025-04-22 21:16:00,9000.0,주식회사 몽땅컴퍼니,기타,일시불,신한,1.0,21.0,evening,2025-W16,2025-04-21/2025-04-27
2025-04-22 16:43:00,7000.0,아뜰리에마미,카페/음료,일시불,신한,1.0,16.0,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-22 16:18:00,11500.0,투고샐러드,식사/외식,일시불,신한,1.0,16.0,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-20 19:57:00,12700.0,맘스터치성신여대점,식사/외식,일시불,신한,6.0,19.0,evening,2025-W16,2025-04-14/2025-04-20
2025-04-20 14:42:00,16500.0,씨제이올리브영(주)돈암점,쇼핑/의류,일시불,신한,6.0,14.0,afternoon,2025-W16,2025-04-14/2025-04-20
2025-04-20 14:26:00,16880.0,(주)대서양식자재마트(DSY MART),쇼핑/의류,일시불,신한,6.0,14.0,afternoon,2025-W16,2025-04-14/2025-04-20
2025-04-19 21:10:00,1100.0,메가엠지씨커피 성신여대점,카페/음료,일시불,신한,5.0,21.0,evening,2025-W15,2025-04-14/2025-04-20
2025-04-17 20:59:00,3200.0,씨유 성북명랑점,쇼핑/의류,일시불,신한,3.0,20.0,evening,2025-W15,2025-04-14/2025-04-20
2025-04-17 17:48:00,2300.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,3.0,17.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 16:51:00,21460.0,샹츠마라 성신여대점,식사/외식,일시불,신한,3.0,16.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 16:43:00,5000.0,김민혁커피,카페/음료,일시불,신한,3.0,16.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 12:10:00,4000.0,김민혁커피,카페/음료,일시불,신한,3.0,12.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-16 13:10:00,3800.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,2.0,13.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-16 13:07:00,10400.0,오롯이,식사/외식,일시불,신한,2.0,13.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-15 21:33:00,21800.0,씨제이올리브영(주)돈암중앙점,쇼핑/의류,일시불,신한,1.0,21.0,evening,2025-W15,2025-04-14/2025-04-20
2025-04-14 13:28:00,15500.0,(주)아이패밀리에스씨,기타,일시불,신한,0.0,13.0,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-13 21:40:00,4000.0,주식회사 북돈산(Book Done San),쇼핑/의류,일시불,신한,6.0,21.0,evening,2025-W15,2025-04-07/2025-04-13
2025-04-13 17:29:00,9000.0,쏠티캐빈 화이트,카페/음료,일시불,신한,6.0,17.0,afternoon,2025-W15,2025-04-07/2025-04-13
2025-04-10 14:06:00,3600.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,3.0,14.0,afternoon,2025-W14,2025-04-07/2025-04-13
