date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-05-20 13:55:00,12800,할리스커피 여의도파이낸스타워,,일시불,신한,1,13,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-20 12:39:00,95200,(주)현대백화점 THE HYUNDAI SEO,,일시불,신한,1,12,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-20 10:34:00,29000,북촌손만두여의도IFC몰점,,일시불,신한,1,10,morning,2025-W20,2025-05-19/2025-05-25
2025-05-17 14:22:00,15600,래격마라탕,,일시불,신한,5,14,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-17 12:02:00,120000,가르니에헤어커커,,일시불,신한,5,12,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-16 15:13:00,15600,쿠키앤베이커리마피,,일시불,신한,4,15,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-16 11:03:00,10000,버터로그,,일시불,신한,4,11,morning,2025-W19,2025-05-12/2025-05-18
2025-05-15 22:17:00,7500,핫브레드성신여대입구역점,,일시불,신한,3,22,evening,2025-W19,2025-05-12/2025-05-18
2025-05-15 15:50:00,3500,더비즈랩 성신여대 수하루점,,일시불,신한,3,15,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-13 21:38:00,4700,(주)카카오,,일시불,신한,1,21,evening,2025-W19,2025-05-12/2025-05-18
2025-05-13 16:23:00,2300,매머드익스프레스성신여대점,,일시불,신한,1,16,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-13 14:54:00,5600,티머니 개인택시,,일시불,신한,1,14,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:53:00,16600,우아한형제들㈜,,일시불,신한,0,23,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:29:00,5000,성신정문점 런드리익스프레스샵,,일시불,신한,0,23,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:23:00,-5000,성신정문점 런드리익스프레스샵,,일시불,신한,0,23,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 22:47:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,0,22,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 22:47:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,0,22,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 16:18:00,13100,우아한형제들㈜,,일시불,신한,0,16,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-11 23:00:00,3100,세븐일레븐 성신여대중앙점,,일시불,신한,6,23,evening,2025-W19,2025-05-05/2025-05-11
2025-05-11 20:20:00,13000,담솥익선직영점,,일시불,신한,6,20,evening,2025-W19,2025-05-05/2025-05-11
2025-05-11 17:44:00,7500,주식회사 더커플,,일시불,신한,6,17,afternoon,2025-W19,2025-05-05/2025-05-11
2025-05-11 00:04:00,1200,설아아이스크림 신원당점,,일시불,신한,6,0,night,2025-W19,2025-05-05/2025-05-11
2025-05-10 20:33:00,129900,주식회사 스타필드고양,,일시불,신한,5,20,evening,2025-W18,2025-05-05/2025-05-11
2025-05-10 19:02:00,209000,주식회사 스타필드고양,,일시불,신한,5,19,evening,2025-W18,2025-05-05/2025-05-11
